Date,text,sentiment
2016-01-06,Gold is gaining in Asia due to continued risk aversion amidst Middle East tensions. A worker for Centerra Gold was arrested in Kyrgyzstan for a controversial remark. Government is considering setting up gold board.,positive
2016-01-07,"Gold prices have hit a seven-week high, possibly due to investors seeking safe-haven assets amidst global economic uncertainty. Smuggling of gold continues to be a problem in some regions, with the FBI assisting Guyana in investigating illegal gold exportation. China's central bank increased its gold reserves in December, and a Chinese bank is reportedly the mystery buyer of a massive gold vault in London.
",negative
2016-01-08,"Gold prices have hit a seven-week high, possibly due to investors seeking safe-haven assets amidst global economic uncertainty. Smuggling of gold continues to be a problem in some regions, with the FBI assisting Guyana in investigating illegal gold exportation. China's central bank increased its gold reserves in December, and a Chinese bank is reportedly the mystery buyer of a massive gold vault in London.
",negative
2016-01-09,"Banks Island Gold Ltd. has filed for bankruptcy. A giant golden statue of Mao, nearly finished, was brought down. Three Indians were held in Nepal for gold smuggling.

",neutral
2016-01-10,"Banks Island Gold Ltd. has filed for bankruptcy. A giant golden statue of Mao, nearly finished, was brought down. Three Indians were held in Nepal for gold smuggling.

",neutral
2016-01-11,"Based on the provided URLs, here's a summary of gold-related topics:

-Goldman Sachs suggests waiting for an entry point in the market.
-Eldorado Gold is facing issues in Greece, leading to potential job losses and has urged Greece to focus on business over politics.
-There are reports of gold mining conflicts, seizures of illegal gold, and gold production projections in various regions.",negative
2016-01-12,"Based on the provided URLs, here's a summary of gold-related topics:

-Goldman Sachs suggests waiting for an entry point in the market.
-Eldorado Gold is facing issues in Greece, leading to potential job losses and has urged Greece to focus on business over politics.
-There are reports of gold mining conflicts, seizures of illegal gold, and gold production projections in various regions.",negative
2016-01-13,Eldorado Gold's market capitalization decreased by $500 million after suspending work in Greece. Regulators are blaming management for a fatal accident that happened at the Gold mine. India is now looking to South America for Gold.,negative
2016-01-14,Eldorado Gold's market capitalization decreased by $500 million after suspending work in Greece. Regulators are blaming management for a fatal accident that happened at the Gold mine. India is now looking to South America for Gold.,negative
2016-01-15,Goldman Sachs reached a settlement of $5 billion over mortgage-backed securities. The settlement is related to the sale of subpar mortgages in the lead-up to the financial crisis. A new Shariah standard for gold products has been launched.,positive
2016-01-16,Goldman Sachs reached a settlement of $5 billion over mortgage-backed securities. The settlement is related to the sale of subpar mortgages in the lead-up to the financial crisis. A new Shariah standard for gold products has been launched.,positive
2016-01-17,"Gold prices are gaining for the second day in a row due to risk aversion and increased demand for safe-haven assets. Somnath temple is planning to invest in gold monetisation scheme. The Iranian president hails nuclear deal as golden page of history.
",positive
2016-01-18,"Gold prices are gaining for the second day in a row due to risk aversion and increased demand for safe-haven assets. Somnath temple is planning to invest in gold monetisation scheme. The Iranian president hails nuclear deal as golden page of history.
",positive
2016-01-19,"Several gold mining companies are trying to reassure stockholders about executive pay. Mali is expecting increased gold production volume in 2016. Randgold Resources is signing new joint ventures in Congo. In a besieged Syrian city, hungry residents are selling gold for food.",positive
2016-01-20,"Several gold mining companies are trying to reassure stockholders about executive pay. Mali is expecting increased gold production volume in 2016. Randgold Resources is signing new joint ventures in Congo. In a besieged Syrian city, hungry residents are selling gold for food.",positive
2016-01-21,"Gold stocks are outperforming South African equities, while central planners are discussing gold's role. Aurion Resources signed a deal with B2Gold for gold projects in Northern Finland. Meanwhile, gold has surpassed $1100 as traders chase safety.",positive
2016-01-22,"Gold stocks are outperforming South African equities, while central planners are discussing gold's role. Aurion Resources signed a deal with B2Gold for gold projects in Northern Finland. Meanwhile, gold has surpassed $1100 as traders chase safety.",positive
2016-01-23,"Gold prices experienced a weekly gain, supported by strong U.S. Mint bullion sales. Market analysts are setting expectations for the Q1 2017 earnings of various gold mining companies. The London Metal Exchange is in discussions with banks to list London gold contracts.",positive
2016-01-24,"Gold prices experienced a weekly gain, supported by strong U.S. Mint bullion sales. Market analysts are setting expectations for the Q1 2017 earnings of various gold mining companies. The London Metal Exchange is in discussions with banks to list London gold contracts.",positive
2016-01-25,"Gold prices have risen to nearly a three-month high due to safe-haven demand, as Chinese gold imports soar with investors losing faith in collapsing stock markets and currency. A GFMS updated survey shows cautiously optimistic on gold price to average $1,164/oz. Also, it has been suggested a bullion bank for gold scheme.
",positive
2016-01-26,"Gold prices have risen to nearly a three-month high due to safe-haven demand, as Chinese gold imports soar with investors losing faith in collapsing stock markets and currency. A GFMS updated survey shows cautiously optimistic on gold price to average $1,164/oz. Also, it has been suggested a bullion bank for gold scheme.
",positive
2016-01-27,"Gold prices are holding near a 12-week high as the U.S. dollar faces pressure ahead of the U.S. Federal Reserve meeting, while some analysts believe that gold's rally won't last. Germany is continuing to move its gold reserves back to Frankfurt. Kazakhstan increased its gold holdings in 2015.",positive
2016-01-28,"Gold prices are holding near a 12-week high as the U.S. dollar faces pressure ahead of the U.S. Federal Reserve meeting, while some analysts believe that gold's rally won't last. Germany is continuing to move its gold reserves back to Frankfurt. Kazakhstan increased its gold holdings in 2015.",positive
2016-01-29,Cormark analysts cut earnings estimates for Eldorado Gold Corp. Iran's president hails a golden page in Iran's history as sanctions are lifted. Sanders is releasing a new ad on Goldman Sachs' role in the economy. Germany has repatriated over 366 tonnes of gold from New York and Paris. A treasure hunter disappears while searching for $2 million in gold. A man tries to smuggle gold worth Rs 1 cr in fracture cast. Germany moved of 189 tonnes of gold from New York Fed vaults.,negative
2016-01-30,Cormark analysts cut earnings estimates for Eldorado Gold Corp. Iran's president hails a golden page in Iran's history as sanctions are lifted. Sanders is releasing a new ad on Goldman Sachs' role in the economy. Germany has repatriated over 366 tonnes of gold from New York and Paris. A treasure hunter disappears while searching for $2 million in gold. A man tries to smuggle gold worth Rs 1 cr in fracture cast. Germany moved of 189 tonnes of gold from New York Fed vaults.,negative
2016-01-31,"Several stories discuss Netaji Subhas Chandra Bose's gold tooth, which may be in ashes in Tokyo.
Additionally, in Bangladesh, 62kg of gold and currencies were seized.
Gold futures rallied amid a global metal crash.",positive
2016-02-01,"Several stories discuss Netaji Subhas Chandra Bose's gold tooth, which may be in ashes in Tokyo.
Additionally, in Bangladesh, 62kg of gold and currencies were seized.
Gold futures rallied amid a global metal crash.",positive
2016-02-02,"Goldman Sachs wallets are closing after bankers' bets, while Bernie Sanders targets Goldman Sachs and Wall Street in his latest campaign ad. Duckworth also slams Goldman Sachs, despite investing in the financial firm, and Hong Kong Regulator censures Goldman on Wing Hang Dealings. Additionally, gold demand is expected to increase in China as investors seek haven assets, and gold hits a new high in the market.
",positive
2016-02-03,"Goldman Sachs wallets are closing after bankers' bets, while Bernie Sanders targets Goldman Sachs and Wall Street in his latest campaign ad. Duckworth also slams Goldman Sachs, despite investing in the financial firm, and Hong Kong Regulator censures Goldman on Wing Hang Dealings. Additionally, gold demand is expected to increase in China as investors seek haven assets, and gold hits a new high in the market.
",positive
2016-02-04,"Goldman Sachs suggests that iron ore is facing increased pressure due to steel production cuts in China. The golden triangle of Russia, China, and Iran is expected to drive the world away from US imperial control. There is news about Biman DGM chief who was arrested over gold smuggling link.
",negative
2016-02-05,"Goldman Sachs suggests that iron ore is facing increased pressure due to steel production cuts in China. The golden triangle of Russia, China, and Iran is expected to drive the world away from US imperial control. There is news about Biman DGM chief who was arrested over gold smuggling link.
",negative
2016-02-06,"Here are some potential topics about gold:

-Gold ended the week near a 3.5-month high, while US Mint silver coins also experienced a jump.
-The Australian gold price has soared to over $1650 an ounce, putting ASX gold plays in focus.
-A teenager in Germany found a $19,000 gold bar in an Alpine lake and was allowed to keep it.",positive
2016-02-07,"Here are some potential topics about gold:

-Gold ended the week near a 3.5-month high, while US Mint silver coins also experienced a jump.
-The Australian gold price has soared to over $1650 an ounce, putting ASX gold plays in focus.
-A teenager in Germany found a $19,000 gold bar in an Alpine lake and was allowed to keep it.",positive
2016-02-08,"Gold prices are expected to potentially double soon, as analysts believe they have hit their lowest point. Randgold Resources had one of its best years in 2015 despite a profit drop. Tahoe Resources is set to acquire Lake Shore Gold in a deal worth $945 million.
",negative
2016-02-09,"Gold prices are expected to potentially double soon, as analysts believe they have hit their lowest point. Randgold Resources had one of its best years in 2015 despite a profit drop. Tahoe Resources is set to acquire Lake Shore Gold in a deal worth $945 million.
",negative
2016-02-10,"IAMGOLD Corp. announces resource estimate for Diakha Deposit. BHP Billiton Vale is facing a 7 billion fine for Brazil's biggest environmental disaster. Strike action looms at Sibanye Gold due to wage disputes.
",negative
2016-02-11,"IAMGOLD Corp. announces resource estimate for Diakha Deposit. BHP Billiton Vale is facing a 7 billion fine for Brazil's biggest environmental disaster. Strike action looms at Sibanye Gold due to wage disputes.
",negative
2016-02-12,Gold prices have seen a surge as investors seek safe-haven assets amid global stock market turmoil. Guyana is welcoming the rising gold price as it benefits from increased exports. Canada has sold nearly half of its gold reserves.,positive
2016-02-13,Gold prices have seen a surge as investors seek safe-haven assets amid global stock market turmoil. Guyana is welcoming the rising gold price as it benefits from increased exports. Canada has sold nearly half of its gold reserves.,positive
2016-02-14,"Gold prices experienced a decline as stock markets rebounded, diminishing the demand for safe-haven assets. Despite this, the underlying uptrend for gold is expected to remain intact as long as prices hold above $1,200. In related news, authorities busted a gold smuggling ring operating via the Myanmar border, and gold imports in January saw a significant increase.",positive
2016-02-15,"Gold prices experienced a decline as stock markets rebounded, diminishing the demand for safe-haven assets. Despite this, the underlying uptrend for gold is expected to remain intact as long as prices hold above $1,200. In related news, authorities busted a gold smuggling ring operating via the Myanmar border, and gold imports in January saw a significant increase.",positive
2016-02-16,"Gold prices are experiencing some volatility, with bargain hunters buying offsetting profit takers. Some analysts suggest that investors should buy gold until May and then sell. There are also reports of gold smuggling, mine protests, and illegal mining activity impacting the gold market.
",negative
2016-02-17,"Gold prices are experiencing some volatility, with bargain hunters buying offsetting profit takers. Some analysts suggest that investors should buy gold until May and then sell. There are also reports of gold smuggling, mine protests, and illegal mining activity impacting the gold market.
",negative
2016-02-18,"Barrick Gold posted a large loss due to asset impairment charges and lowered its 2016 forecast because of the continued slump in gold prices. Despite consistently lower prices, Gold Fields Limited remains cash positive and is going shopping to cope with the commodities bloodbath. Investment demand in China is growing as gold prices rally.
",positive
2016-02-19,"Barrick Gold posted a large loss due to asset impairment charges and lowered its 2016 forecast because of the continued slump in gold prices. Despite consistently lower prices, Gold Fields Limited remains cash positive and is going shopping to cope with the commodities bloodbath. Investment demand in China is growing as gold prices rally.
",positive
2016-02-20,"Gold prices weakened due to muted demand and negative global cues. A conman was arrested in Hyderabad, and gold ornaments worth around Rs 1 crore were seized. Protests erupted in Turkey against the construction of a gold mine, leading to police using tear gas and several injuries.",negative
2016-02-21,"Gold prices weakened due to muted demand and negative global cues. A conman was arrested in Hyderabad, and gold ornaments worth around Rs 1 crore were seized. Protests erupted in Turkey against the construction of a gold mine, leading to police using tear gas and several injuries.",negative
2016-02-22,"India's gold imports in February are expected to be the lowest in three years. The Customs Division in Ghana is investigating the seizure of smuggled gold at Kotoka International Airport. Eric Coffin anticipates the end of the gold bear market.
",negative
2016-02-23,"India's gold imports in February are expected to be the lowest in three years. The Customs Division in Ghana is investigating the seizure of smuggled gold at Kotoka International Airport. Eric Coffin anticipates the end of the gold bear market.
",negative
2016-02-24,"Several articles discuss legal and financial issues related to gold mining companies, including shareholder investigations, environmental concerns, and disputes with governments. There are reports about gold smuggling, theft, and illegal mining operations in different countries, as well as efforts to combat these activities. Some articles highlight the performance and prospects of gold mining companies, including production targets, financial results, and investment opportunities.
",neutral
2016-02-25,"Several articles discuss legal and financial issues related to gold mining companies, including shareholder investigations, environmental concerns, and disputes with governments. There are reports about gold smuggling, theft, and illegal mining operations in different countries, as well as efforts to combat these activities. Some articles highlight the performance and prospects of gold mining companies, including production targets, financial results, and investment opportunities.
",neutral
2016-02-26,"Several companies are making advancements in gold mining and exploration, including Goldon's drilling update on their Neville-Potier property, Alicanto Minerals updating on Arakaka Gold, Ausgold Limited raising cash for Katanning Gold, and Sula Iron Gold prioritizing a joint venture for their gold project. Venezuela is turning to its gold reserves to manage debt and signed a mining MOU with Canada's Gold Reserve, while Vedanta won India's first gold mine auction. A staffer at a jewellery firm was apprehended for stealing gold, while gold smugglers were caught at airports with concealed gold bars.",positive
2016-02-27,"Several companies are making advancements in gold mining and exploration, including Goldon's drilling update on their Neville-Potier property, Alicanto Minerals updating on Arakaka Gold, Ausgold Limited raising cash for Katanning Gold, and Sula Iron Gold prioritizing a joint venture for their gold project. Venezuela is turning to its gold reserves to manage debt and signed a mining MOU with Canada's Gold Reserve, while Vedanta won India's first gold mine auction. A staffer at a jewellery firm was apprehended for stealing gold, while gold smugglers were caught at airports with concealed gold bars.",positive
2016-02-28,"Here's a summary of the gold market situation based on the provided links:

Gold prices are on the rise, driven by an uncertain global economic outlook. India's gold imports are at their lowest since 2013, while the country has raised the import duty on semi-pure gold dore bars. Venezuela is also looking to revolutionize gold mining with a multi-billion dollar deal.",negative
2016-02-29,"Here's a summary of the gold market situation based on the provided links:

Gold prices are on the rise, driven by an uncertain global economic outlook. India's gold imports are at their lowest since 2013, while the country has raised the import duty on semi-pure gold dore bars. Venezuela is also looking to revolutionize gold mining with a multi-billion dollar deal.",negative
2016-03-01,India's jewelers are striking to protest the gold tax. Gold prices are increasing to $1247.9 an ounce. An arrest was made in Florida over a $5 million gold heist.,positive
2016-03-02,India's jewelers are striking to protest the gold tax. Gold prices are increasing to $1247.9 an ounce. An arrest was made in Florida over a $5 million gold heist.,positive
2016-03-03,"Multiple events influenced the gold market, including global central banks continuing a gold-buying trend and gold prices reaching their highest level in over a year. India announced the third tranche of sovereign gold bonds, while jewelers protested a tax. A mining company is acquiring a high-grade copper-gold project, and a Honduran environmental activist who won the Goldman Environmental Prize was murdered.",positive
2016-03-04,"Multiple events influenced the gold market, including global central banks continuing a gold-buying trend and gold prices reaching their highest level in over a year. India announced the third tranche of sovereign gold bonds, while jewelers protested a tax. A mining company is acquiring a high-grade copper-gold project, and a Honduran environmental activist who won the Goldman Environmental Prize was murdered.",positive
2016-03-05,"Here's a summary of the gold-related news:

-A woman was robbed of her gold chain in Bengaluru, India.
-Canada's gold reserves are dwindling, marking the end of its ""golden age"".
-The 3rd tranche of the Sovereign Gold Bond Scheme will be available starting March 8.
-FBI arrested a Florida man in connection with the heist of $4.8 million in gold from a truck.
-Gold price increases while silver stable.",negative
2016-03-06,"Here's a summary of the gold-related news:

-A woman was robbed of her gold chain in Bengaluru, India.
-Canada's gold reserves are dwindling, marking the end of its ""golden age"".
-The 3rd tranche of the Sovereign Gold Bond Scheme will be available starting March 8.
-FBI arrested a Florida man in connection with the heist of $4.8 million in gold from a truck.
-Gold price increases while silver stable.",negative
2016-03-07,"Some sources report that gold is holding steady as stocks weaken, while others indicate that gold is flat as base metals rally. A few articles mention potential new gold mines in Alaska and Ecuador, which could affect future supply and prices. Meanwhile, there are reports of gold smuggling, mine-related violence, and regulatory issues affecting the gold market.
",negative
2016-03-08,"Some sources report that gold is holding steady as stocks weaken, while others indicate that gold is flat as base metals rally. A few articles mention potential new gold mines in Alaska and Ecuador, which could affect future supply and prices. Meanwhile, there are reports of gold smuggling, mine-related violence, and regulatory issues affecting the gold market.
",negative
2016-03-09,"Gold prices experienced volatility due to the ECB meeting, while analysts suggest a sustainable rally is coming later in the year. Ivory Coast's mining sector was boosted by gold output in 2015. Illegal mining is scaring away AngloGold Ashanti's investors.
",positive
2016-03-10,"Gold prices experienced volatility due to the ECB meeting, while analysts suggest a sustainable rally is coming later in the year. Ivory Coast's mining sector was boosted by gold output in 2015. Illegal mining is scaring away AngloGold Ashanti's investors.
",positive
2016-03-11,"Citigroup has raised its gold forecasts. An Islamic State defector is providing details about a gold mine and 22,000 supporters. Australia is sitting on a $64 billion gold mine of unused mobile handsets. Ivory Coast's mining industry recorded high revenue from gold, and gold merchants are protesting additional tax. Uranium mining in Karoo, South Africa, is being called the new gold, and gold worth Tk 1.25 crore was seized at Dhaka Airport. Additionally, gold was recovered from a century-old Alaska shipwreck and a man shot a victim in Detroit to steal his gold chain.

New technology strikes gold at PDAC 2016 and wins $500K.  Newmont sells stake in Australian gold miner for $182 million, while Barrick Gold was fined $9.3 million for Argentina cyanide spill. There are tensions rising in E Cameroon over Chinese gold miners. General Magnesium Corporation and Abbey Gold are set to sign a milling contract next week.",positive
2016-03-12,"Citigroup has raised its gold forecasts. An Islamic State defector is providing details about a gold mine and 22,000 supporters. Australia is sitting on a $64 billion gold mine of unused mobile handsets. Ivory Coast's mining industry recorded high revenue from gold, and gold merchants are protesting additional tax. Uranium mining in Karoo, South Africa, is being called the new gold, and gold worth Tk 1.25 crore was seized at Dhaka Airport. Additionally, gold was recovered from a century-old Alaska shipwreck and a man shot a victim in Detroit to steal his gold chain.

New technology strikes gold at PDAC 2016 and wins $500K.  Newmont sells stake in Australian gold miner for $182 million, while Barrick Gold was fined $9.3 million for Argentina cyanide spill. There are tensions rising in E Cameroon over Chinese gold miners. General Magnesium Corporation and Abbey Gold are set to sign a milling contract next week.",positive
2016-03-13,"Barrick Gold was fined $9.3 million for a cyanide spill in Argentina. An Israeli hiker discovered a rare, 2,000-year-old gold coin. Strong demand from emerging markets and limited supply are keeping gold prices up.",positive
2016-03-14,"Barrick Gold was fined $9.3 million for a cyanide spill in Argentina. An Israeli hiker discovered a rare, 2,000-year-old gold coin. Strong demand from emerging markets and limited supply are keeping gold prices up.",positive
2016-03-15,"A hiker in Israel discovered a rare 2,000-year-old gold coin. Raymond James boosted the price target for Guyana Goldfields Inc. BMO raises 2016 average price forecasts for gold and silver.",positive
2016-03-16,"A hiker in Israel discovered a rare 2,000-year-old gold coin. Raymond James boosted the price target for Guyana Goldfields Inc. BMO raises 2016 average price forecasts for gold and silver.",positive
2016-03-17,Gold jewellery imports from ASEAN are to face a 12.5% countervailing duty. Analysts are shifting ratings for Yamana Gold. Sibanye Gold's platinum entry receives a double boost.,positive
2016-03-18,Gold jewellery imports from ASEAN are to face a 12.5% countervailing duty. Analysts are shifting ratings for Yamana Gold. Sibanye Gold's platinum entry receives a double boost.,positive
2016-03-19,"Sovereign Gold Bond scheme tranche 3 yields only 1,128 kg. Jewellers call off strike after assurance from government, gold imports to rise. Power outages hit Metallon Gold production.",negative
2016-03-20,"Sovereign Gold Bond scheme tranche 3 yields only 1,128 kg. Jewellers call off strike after assurance from government, gold imports to rise. Power outages hit Metallon Gold production.",negative
2016-03-21,"Gold prices increased due to safe-haven demand after the terrorist attacks in Brussels. A former Goldman Sachs employee avoided prison time but got a fine for stealing secret New York Fed documents. The Panamanian government exonerated Pershimco of taxes, which further enhances the Cerro Quema Gold Project.",positive
2016-03-22,"Gold prices increased due to safe-haven demand after the terrorist attacks in Brussels. A former Goldman Sachs employee avoided prison time but got a fine for stealing secret New York Fed documents. The Panamanian government exonerated Pershimco of taxes, which further enhances the Cerro Quema Gold Project.",positive
2016-03-23,"Multiple companies are reporting on mineral reserves, including Alamos Gold, and are also improving relationships with the Greek government regarding mine permitting. China is taking in more Swiss gold than Hong Kong for the second successive month. Geopolitical events in Europe may create more upside in great gold stocks.",positive
2016-03-24,"Multiple companies are reporting on mineral reserves, including Alamos Gold, and are also improving relationships with the Greek government regarding mine permitting. China is taking in more Swiss gold than Hong Kong for the second successive month. Geopolitical events in Europe may create more upside in great gold stocks.",positive
2016-03-25,"Barrick Gold's chairman, John Thornton, experienced a 76% drop in total compensation after waiving his bonus. Lara Exploration signed an option to acquire the Serrita Gold Project in Brazil. January gold declaration positions Guyana's sector to break 2015 record.",negative
2016-03-26,"Barrick Gold's chairman, John Thornton, experienced a 76% drop in total compensation after waiving his bonus. Lara Exploration signed an option to acquire the Serrita Gold Project in Brazil. January gold declaration positions Guyana's sector to break 2015 record.",negative
2016-03-27,US dollar strength is weighing on crude oil and gold futures. Columbus Gold launches proxy fight against Eastmain Resources. New US sanctions headache for companies linked to North Korean gold.,negative
2016-03-28,US dollar strength is weighing on crude oil and gold futures. Columbus Gold launches proxy fight against Eastmain Resources. New US sanctions headache for companies linked to North Korean gold.,negative
2016-03-29,"Russia has become the world's top gold buyer, surpassing China in February. This development comes as investors are told to hold onto their cash and go for gold, while Indian jewelers are striking, which could weigh on gold demand. Elsewhere, there are reports of sex trafficking in illegal Latin American gold mines and a Kansas City man accused of selling counterfeit gold bars on Craigslist.",positive
2016-03-30,"Russia has become the world's top gold buyer, surpassing China in February. This development comes as investors are told to hold onto their cash and go for gold, while Indian jewelers are striking, which could weigh on gold demand. Elsewhere, there are reports of sex trafficking in illegal Latin American gold mines and a Kansas City man accused of selling counterfeit gold bars on Craigslist.",positive
2016-03-31,"Several companies, including Mariana Resources and GoldQuest, are commencing drilling and exploration at gold and silver prospects in Chile and the Dominican Republic, respectively. In other news, a Florida man pleaded not guilty in a $4.8 million gold truck heist, while authorities seek to seize assets related to the case. Additionally, Randgold Resources reported it replenished its resources in a record production year and maintained a progressive dividend.
",positive
2016-04-01,"Several companies, including Mariana Resources and GoldQuest, are commencing drilling and exploration at gold and silver prospects in Chile and the Dominican Republic, respectively. In other news, a Florida man pleaded not guilty in a $4.8 million gold truck heist, while authorities seek to seize assets related to the case. Additionally, Randgold Resources reported it replenished its resources in a record production year and maintained a progressive dividend.
",positive
2016-04-02,Exploration financing is being arranged for the Pinaya copper-gold project in Peru.The Indian government is allowing investors to redeem principal gold. Illegal gold mining is causing Nigeria to lose a significant amount of gold daily.,negative
2016-04-03,Exploration financing is being arranged for the Pinaya copper-gold project in Peru.The Indian government is allowing investors to redeem principal gold. Illegal gold mining is causing Nigeria to lose a significant amount of gold daily.,negative
2016-04-04,"Gold prices experienced a slight drop due to positive US economic data. A London-listed Polymetal acquired a Kazakh gold field. There are concerns about gold smuggling and its connection to conflict zones like Darfur, where a UN report highlighted the issue.",negative
2016-04-05,"Gold prices experienced a slight drop due to positive US economic data. A London-listed Polymetal acquired a Kazakh gold field. There are concerns about gold smuggling and its connection to conflict zones like Darfur, where a UN report highlighted the issue.",negative
2016-04-06,The UN has reported cluster bombs and gold smuggling in Darfur. A jeweller was granted bail for over $4M jewellery seizure at the airport. Soon gold coins will be available at India Post.,neutral
2016-04-07,The UN has reported cluster bombs and gold smuggling in Darfur. A jeweller was granted bail for over $4M jewellery seizure at the airport. Soon gold coins will be available at India Post.,neutral
2016-04-08,"NuLegacy Gold announced a $6.67 million strategic investment by Oceanagold Corporation.
Tsodilo Resources was awarded gold and silver prospecting rights in the Barberton Greenstone Belt, South Africa. Jim Rickards predicts $10,000 gold is coming and believes there is gold price manipulation.",positive
2016-04-09,"NuLegacy Gold announced a $6.67 million strategic investment by Oceanagold Corporation.
Tsodilo Resources was awarded gold and silver prospecting rights in the Barberton Greenstone Belt, South Africa. Jim Rickards predicts $10,000 gold is coming and believes there is gold price manipulation.",positive
2016-04-10,"Gold ETFs in India experienced outflows for the third consecutive year in fiscal year 2016, while some jewelers in India are reopening shops after a six-week strike, leading to a decrease in gold discounts. Elsewhere, there are reports of gold theft, with a former temple employee arrested in connection to a gold theft case. Chinese companies are also reportedly interested in acquiring overseas gold mines.",negative
2016-04-11,"Gold ETFs in India experienced outflows for the third consecutive year in fiscal year 2016, while some jewelers in India are reopening shops after a six-week strike, leading to a decrease in gold discounts. Elsewhere, there are reports of gold theft, with a former temple employee arrested in connection to a gold theft case. Chinese companies are also reportedly interested in acquiring overseas gold mines.",negative
2016-04-12,"Gold prices increased, with silver reaching a 5.5-month high due to a depreciating dollar. Goldman Sachs is set to pay billions to resolve claims of misconduct related to mortgage-backed securities. Several companies, including Lundin Gold and Golden Arrow, provided corporate and project updates.
",positive
2016-04-13,"Gold prices increased, with silver reaching a 5.5-month high due to a depreciating dollar. Goldman Sachs is set to pay billions to resolve claims of misconduct related to mortgage-backed securities. Several companies, including Lundin Gold and Golden Arrow, provided corporate and project updates.
",positive
2016-04-14,"Some companies are exploring new gold mining projects in Nevada and Alaska, while others are updating their spending plans for existing operations in East Timmins. There are concerns that illegal miners are taking control of the richest deposits at the Obuasi mine, and the 65th Infantry Regiment received the Congressional Gold Medal. Silver is outperforming gold due to confidence in China.",positive
2016-04-15,"Some companies are exploring new gold mining projects in Nevada and Alaska, while others are updating their spending plans for existing operations in East Timmins. There are concerns that illegal miners are taking control of the richest deposits at the Obuasi mine, and the 65th Infantry Regiment received the Congressional Gold Medal. Silver is outperforming gold due to confidence in China.",positive
2016-04-16,Deutsche Bank settled a U.S. litigation over gold and silver price-fixing. African Barrick Gold's broker price targets were updated. An equity rally removed some glister from gold.,positive
2016-04-17,Deutsche Bank settled a U.S. litigation over gold and silver price-fixing. African Barrick Gold's broker price targets were updated. An equity rally removed some glister from gold.,positive
2016-04-18,"Here is a summary of gold market and price movements from the provided URLs:

China has launched a yuan-denominated gold benchmark in an effort to exert more control over global gold pricing. New York gold futures ended higher. Randgold Resources has signed a joint venture with billionaire Gertler's Moku Goldmines.
",positive
2016-04-19,"Here is a summary of gold market and price movements from the provided URLs:

China has launched a yuan-denominated gold benchmark in an effort to exert more control over global gold pricing. New York gold futures ended higher. Randgold Resources has signed a joint venture with billionaire Gertler's Moku Goldmines.
",positive
2016-04-20,China has launched a yuan-denominated gold benchmark to increase its control over the bullion market. Randgold has signed a new joint venture to develop a gold project in the Democratic Republic of Congo. Deutsche Bank has agreed to settle gold and silver price-fixing litigation.,positive
