date,summary
2014-01-16,"Gold news focused on: fullcomment nationalpost, a, news, asia. Other key mentions included: gold mining stirs up controversy in greece, businessweek, brisbanetimes, ndtv."
2014-01-17,"Gold news focused on: sbwire, business, companies, bank robber benefited from gold fields deal. Other key mentions included: theguardian, foxbusiness, news, menafn."
2014-01-18,"Gold news focused on: google smart contact lens hot topic at golden networkings new york wearable technologies conference html, news, article, concert promoter causes outrage freedom twerk posters depicting martin luther king gold chains html ito      ns campaign. Other key mentions included: thenews, thehindu, zeenews india."
2014-01-19,"Gold news focused on: news yahoo, theguardian, bloomberg, rediff. Other key mentions included: thehindu, reuters."
2014-01-20,"Gold news focused on: bloomberg, business, companies, platinum gold workers to strike. Other key mentions included: channelnewsasia, resourceinvestor, thestar, proactiveinvestors."
2014-01-21,"Gold news focused on: business, companies, theguardian, goldman sachs sees higher sa ipos. Other key mentions included: news, international, goldie hawn meditates with davos elite, in reuters."
2014-01-22,"Gold news focused on: bloomberg, sbwire, news, prnewswire. Other key mentions included: miningaustralia, in reuters, proactiveinvestors, reuters."
2014-01-26,"Gold news focused on: philstar, spain news, all that glitters is not nigel goldman, emirates. Other key mentions included: thehindu, menafn, article, a new wave of companies could list on the jse says goldman sachs."
2014-01-27,"Gold news focused on: bloomberg, news, abc, businessweek. Other key mentions included: news goldseek, business, einnews, finance yahoo."
2014-01-28,"Gold news focused on: marketwatch, news, proactiveinvestors, dhakatribune. Other key mentions included: goldcoastbulletin, zerohedge, html, mg hires ex goldman veteran for new role aspx."
2014-01-29,"Gold news focused on: businessweek, timesofindia indiatimes, au news yahoo, washingtonpost. Other key mentions included: eagletribune, goldcoastbulletin, einnews, bloomberg."
2014-01-30,"Gold news focused on: zawya, sfgate, bloomberg, goldrushcam. Other key mentions included: news, ranchosantafereview, theguardian, businessweek."
2014-01-31,"Gold news focused on: nachricht, sunergy dredgemaster david price is ready to commence operations of three dredges sierra leone and two dredges liberia all operating on gold and or diamond recovery for immediate monthly cash flow, forbes, posts. Other key mentions included: goldman deal on danish energy splits copenhagen coalition, business, stories, hl."
2014-02-01,"Gold news focused on: kantipuronline, queensland, paul stevens      gold coast citizen of the year html, scmp. Other key mentions included: forbes, business financialpost, story, indira gandhi commando raid operation bluestar indian army golden temple jarnail singh bhindranwale raw officials."
2014-02-02,"Gold news focused on: sfgate, stories, hl, s. Other key mentions included: borgen meets goldman sachs denmarks dong energy adventure htm, timesofindia indiatimes, marketwatch, newsday."
2014-02-03,"Gold news focused on: smh, punchng, marketwatch, goldman sachs in denmark. Other key mentions included: businessinsider, proactiveinvestors, coinweek, brecorder."
2014-02-04,"Gold news focused on: news, theguardian, uk probe finds role in india golden temple assault was limited, worldnews. Other key mentions included: asia, india, breitbart, scmp."
2014-02-05,"Gold news focused on: timesofindia indiatimes, businessweek, goldcoastbulletin, news. Other key mentions included: article, proactiveinvestors, forbes, goldman sachs sued for selling libya billions in worthless options."
2014-02-06,"Gold news focused on: news, article, golden compass expands portfolio of, businessweek. Other key mentions included: sfgate, bangkokpost, hgazette, resourceinvestor."
2014-02-07,"Gold news focused on: goldman prizewinner gets    years for resistance to genocide, za news yahoo, globalpost, bangkokpost. Other key mentions included: news, business financialpost, reuters, timesofindia indiatimes."
2014-02-08,"Gold news focused on: news, index html, theafricareport, shanagolden foynes feb. Other key mentions included: the press, west coast, gold towns new luminary, tribune."
2014-02-09,"Gold news focused on: timesofindia indiatimes, news, dailypost, article. Other key mentions included: gagauzia golden apple discord between east and west, digitaljournal, africareview, washingtonpost."
2014-02-10,"Gold news focused on: news, bloomberg, finance yahoo, infinito gold files lawsuit against costa rica over canceled gold mining contract. Other key mentions included: marines arrive thailand exercise cobra gold, businessweek, in reuters, wtvr."
2014-02-11,"Gold news focused on: reuters, news, bloomberg, miningweekly. Other key mentions included: wthr, news goldseek, article, marketwatch."
2014-02-12,"Gold news focused on: business, international, goldman puts for sale sign on iran s old uranium supplier, bizjournals. Other key mentions included: zeenews india, brisbanetimes, maltatoday, nachrichten."
2014-02-13,"Gold news focused on: international, graphic photos cobra gold      military exercise in thailand c hy q buko ea rnsmwpup xptlxvz e  fdo vgkz s mkt en us, news, pressreleaseview. Other key mentions included: tabid, article, cobra gold    allies build classrooms for thai elementary school aspx, local."
2014-02-14,"Gold news focused on: politicsinminnesota, blackanthem, news, businessweek. Other key mentions included: rt, scholarly goldberg treatment html, blogs wsj, timesofisrael."
2014-02-15,"Gold news focused on: blackanthem, news, goldberg mentioning strategy html, deccanherald. Other key mentions included: goldman sachs bank bailouts no experience why these stigmas wont stop neel kashkari from running for governor, articleshow, cms, article."
2014-02-16,"Gold news focused on: article, news, goldcoastbulletin, i lucky alive i branded gold digger trying damages after    years         tourist gored elephant wins payout william girls father html ito      ns mchannel rss ns campaign. Other key mentions included: newindianexpress, sir sean connery embroiled goldfinger court probe marbella home spaniards involved sale face bribery embezzlement charges html, articles timesofindia indiatimes, mid day."
2014-02-17,"Gold news focused on: news, abducted ctg gold trader found alive, chronicle augusta, investing. Other key mentions included: blogs forward, traders, man charged with gold coast spiritual advisers murder, bangkokpost."
2014-02-18,"Gold news focused on: news, marketwatch, abducted ctg gold trader found in comilla, man fronts court with gold coast spiritual advisers murder. Other key mentions included: timesofindia indiatimes, zawya, nachrichten, sisters arms goes international cobra gold."
2014-02-19,"Gold news focused on: news, ibtimes, spartan brigade demonstrates quick response airborne ability cobra gold, international. Other key mentions included: pacific partnership brings golden opportunity for australian agriculture, goldcoastbulletin, counter wmd training unites us thai forces during exercise cobra gold, goldrushcam."
2014-02-20,"Gold news focused on: article, spartan brigade demonstrates quick response  airborne ability at cobra gold, goldcoastbulletin, reuters. Other key mentions included: news, charlestoncitypaper, press, en."
2014-02-21,"Gold news focused on: blogs forward, news, mining, business standard. Other key mentions included: businessweek, story, theunion, boiseweekly."
2014-02-22,"Gold news focused on: capitalnewyork, golden poverty rises pacific islands, timesofindia indiatimes, thehindu. Other key mentions included: theunion, oregonlive, news, keyposts."
2014-02-23,"Gold news focused on: news, gulf times, buffalonews, timesofindia indiatimes. Other key mentions included: miami cbslocal, businessweek, menafn, thehindu."
2014-02-24,"Gold news focused on: news, rappler, chicagotribune, south korean figure skater yuna kims robbed sochi gold becomes photoshop meme. Other key mentions included: zawya, blog, this week chicago gun violence cost of gold, showbiz."
2014-02-25,"Gold news focused on: theguardian, news, proactiveinvestors, marketwatch. Other key mentions included: jeffrey goldberg israelis html, failedmessiah typepad, world, years baruch goldsteins massacre."
2014-02-26,"Gold news focused on: news, santacruzsentinel, proactiveinvestors, modernghana. Other key mentions included: macaudailytimes, thepiedmontjournal, voiceofrussia, goldrushcam."
2014-02-27,"Gold news focused on: nhregister, proactiveinvestors, nation time, trinidadexpress. Other key mentions included: aljazeera, livemint, rk, stockhouse."
2014-02-28,"Gold news focused on: news, al monitor, spyghana, wtsp. Other key mentions included: en, story, olympic to acquire two large gold properties in borden gold district ontario, stabroeknews."
2014-03-01,"Gold news focused on: dfm timesherald, wtsp, opp connect, news. Other key mentions included: bdnews, gaininggreen, goldrushcam, malaysiandigest."
2014-03-02,"Gold news focused on: blogs forward, foxnews, zawya, iexpats. Other key mentions included: thehindu, nachricht, latin american minerals receives heap leach permit for expanded gold production, rk."
2014-03-03,"Gold news focused on: world, turkey, can a istanbul trial help solve dubai golden gun murder, news. Other key mentions included: abcnews go, story, finance yahoo, vanguardngr."
2014-03-04,"Gold news focused on: news, einnews, naplesnews, business. Other key mentions included: saharareporters, goldcoastbulletin, forbes, goldberg obama interview."
2014-03-05,"Gold news focused on: news, timesofindia indiatimes, article, bizjournals. Other key mentions included: stockhouse, zawya, keystoneprotests, bloomberg."
2014-03-06,"Gold news focused on: news, news goldseek, oldgoldandblack, husband of missing gold coast woman back in australia. Other key mentions included: dhakatribune, newscut, the gold star family that never stops paying it forward, refid   utm source feedburner utm medium feed utm campaign feed  a mpr newsfeatures    news     features from minnesota public radio."
2014-03-07,"Gold news focused on: finance fortune cnn, mining technology, news, miningweekly. Other key mentions included: gold river businessman to serve over    years for bankruptcy and money laundering schemes, tampabay, ctpost, auss newest gold mine opens despite tough."
2014-03-08,"Gold news focused on: goldcoastbulletin, adn, thestar, mineweb. Other key mentions included: zawya, heraldscotland, standartnews, goldrushcam."
2014-03-09,"Gold news focused on: goldcoastbulletin, wnd, kg gold seized at dhaka airport, news. Other key mentions included: bdnews, globalpost, antaranews, timesofindia indiatimes."
2014-03-10,"Gold news focused on: news, edmontonsun, talkradionews, goldcoastbulletin. Other key mentions included: stockhouse, thisdaylive, timesofindia indiatimes, news goldseek."
2014-03-11,"Gold news focused on: news, goldrushcam, article, timesofindia indiatimes. Other key mentions included: swradioafrica, news opinion, no golden wedding hollywoods golden, smh."
2014-03-12,"Gold news focused on: reporting, africa congo russ feingold peacemaking former senator, goldcoastbulletin, news. Other key mentions included: bloomberg, article, marketwatch, sciencetech."
2014-03-13,"Gold news focused on: timesofindia indiatimes, news, en, businessweek. Other key mentions included: economy, matolcsy blabbed to goldman sachs on imf deal       html, business standard, spyghana."
2014-03-14,"Gold news focused on: news, business, leo burnett wins gold and the lotus root award at adfest, au ibtimes. Other key mentions included: finance yahoo, au finance yahoo, oregonlive, heraldonline."
2014-03-15,"Gold news focused on: rgj, voiceofrussia, marketwatch, spyghana. Other key mentions included: greenfieldreporter, news, haberler, greek far right lawmaker deserts golden dawn party."
2014-03-16,"Gold news focused on: sbs, goldrushcam, news, fortmilltimes. Other key mentions included: marketwatch, atlantaprogressivenews, timesofindia indiatimes, idahostatejournal."
2014-03-17,"Gold news focused on: news, sunlightfoundation, uk news, kate middleton wore gold brooch. Other key mentions included: omidyar, theguardian, proactiveinvestors, in reuters."
2014-03-18,"Gold news focused on: goldcoastbulletin, news, thedenverchannel, money. Other key mentions included: article, alex brummer goldman sachs rules bank england html ito      ns campaign, rs   eadaebfr hqq puc moayvqywvwbg i, goldrushcam."
2014-03-20,"Gold news focused on: goldcoastbulletin, mineweb, finance yahoo, infolink. Other key mentions included: news, mining, businessweek, crime."
2014-03-21,"Gold news focused on: goldcoastbulletin, news, fwbusinesspress, news goldseek. Other key mentions included: timesofindia indiatimes, three msu students receive prestigious goldwater scholarships, businessweek, oldgoldandblack."
2014-03-22,"Gold news focused on: news, goldrushcam, business standard, thenorthwestern. Other key mentions included: thehindu, english al akhbar, bangkokpost, post gazette."
2014-03-23,"Gold news focused on: timesofindia indiatimes, uae, praise for uaes gold standard nuclear power programme, world. Other key mentions included: prosecutors present golden thread of evidence at pistorius trial, news, goldcoastbulletin, ndtv."
2014-03-24,"Gold news focused on: news, article, sciencetech, mineweb. Other key mentions included: has nasa new earth astronomer discovers sized planet goldlocks zone host alien life html ito      ns campaign, eng, business, european stocks drop amid ukraine tension    yen weakens with gold html cid."
2014-03-25,"Gold news focused on: bdnews, news goldseek, bostonherald, timesofindia indiatimes. Other key mentions included: theglobeandmail, hindustantimes, roanoke, nachricht."
2014-03-26,"Gold news focused on: zawya, news, goldrushcam, gulfnews. Other key mentions included: resourceinvestor, proactiveinvestors, mid day, forbes."
2014-03-27,"Gold news focused on: news, nachricht, brisbanetimes, malaysiasun. Other key mentions included: business, pno detail aspx id      title goldman deal shakes up danish centre left, gold kiwifruit volumes forecast rise, princegeorgecitizen."
2014-03-28,"Gold news focused on: thepiedmontjournal, national, labour, amcu seeks permission to extend strike to gold coal. Other key mentions included: nachricht, firstpost, theportugalnews, jpost."
2014-03-29,"Gold news focused on: naharnet, theportugalnews, latinpost, news ninemsn. Other key mentions included: forbes, news, theglobeandmail, preview polarized turkey to vote in key local electionsby shabtai gold dpa        html."
2014-03-30,"Gold news focused on: voiceofrussia, northerndailyleader, menafn, euromoney. Other key mentions included: goldrushcam, ooskanews, buenosairesherald, news."
2014-03-31,"Gold news focused on: home, vnplus, dien bien phu victory  a golden page in vietnams history, news. Other key mentions included: azcentral, dnaindia, nachricht, marketwatch."
2014-04-01,"Gold news focused on: traders, business, opinion analysis, digging for gold slips on a banana republics skin. Other key mentions included: bloomberg, cops held in city     gold bars seized, hurriyetdailynews, proactiveinvestors."
2014-04-02,"Gold news focused on: news, mining, reuters, world. Other key mentions included: europe, european regulators fine goldman sachs cable firms over cartel, hotspots, conflicts."
2014-04-03,"Gold news focused on: news, resourceinvestingnews, reuters, blogs. Other key mentions included: nato old is gold but not always html utm source feedburner utm medium feed utm campaign feed  a slguardian    sri lanka guardian, world, europe, video shows aide to greek prime minister antonis samaras admitting golden dawn arrests were sought by government         html."
2014-04-04,"Gold news focused on: greek pm adviser linked to golden dawn, a          maca en rss en eu      rdf, bizbeatblog dallasnews, business. Other key mentions included: commercialappeal, story, golden years go grey, sfgate."
2014-04-05,"Gold news focused on: news, bloomberg, jockey nathan berry honoured at golden slipper meeting, philstar. Other key mentions included: green green living, biochar is carbon gold for belizes cacao farmers html, en, china s yantai group buy share tajik canadian gold mining joint venture."
2014-04-06,"Gold news focused on: brisbanetimes, au news yahoo, news, timescolonist. Other key mentions included: nation, business standard, marketwatch, edgeboston."
2014-04-07,"Gold news focused on: obama s golden opportunity in malaysia, h bt, gold coast club boss supplied cocaine, macaudailytimes. Other key mentions included: menafn, q police legal, children pawns gold smuggling racket, marketwired."
2014-04-08,"Gold news focused on: todayszaman, bnn news, mineweb, marketwired. Other key mentions included: burma, shan wa rebels clash gold eastern burma html, au ibtimes, news."
2014-04-09,"Gold news focused on: news, mayka kukocova  the former girlfriend of bristol gold trader andy bush  arrested after he was shot dead in spain, malaysiandigest, cosmeticsdesign europe. Other key mentions included: finance yahoo, brisbanetimes, thehimalayantimes, news goldseek."
2014-04-10,"Gold news focused on: turningstones sonomaportal, oldgoldandblack, theglobeandmail, news. Other key mentions included: todayonline, ndtv, bloomberg, prnewswire."
2014-04-11,"Gold news focused on: brisbanetimes, worldcrunch, thedailybeast, theguardian. Other key mentions included: voiceofrussia, timesofindia indiatimes, story          detail, story html."
2014-04-12,"Gold news focused on: news, spyghana, theepochtimes, timesofindia indiatimes. Other key mentions included: gold extends gains, de, willistonherald, kgw."
2014-04-13,"Gold news focused on: jpost, news, crime, family murdered gold dealer andy. Other key mentions included: businessweek, mohavedailynews, daily tribune, scitech."
2014-04-14,"Gold news focused on: americandrycleaner, timesofindia indiatimes, thehimalayantimes, business standard. Other key mentions included: nachricht, marketwatch, bdnews, virginislandsdailynews."
2014-04-15,"Gold news focused on: goldrushcam, bloomberg, bangordailynews, news. Other key mentions included: silkroadreporters, theage, blogs, bloggers."
2014-04-16,"Gold news focused on: article, news, marketwatch, goldcoastbulletin. Other key mentions included: femail, en, topstories, sutton man receives gold bars in the post after online scam blunder."
2014-04-17,"Gold news focused on: forbes, defenseindustrydaily, scmp, marketwatch. Other key mentions included: menafn, jewishpress, oldgoldandblack, business standard."
2014-04-18,"Gold news focused on: article, debate, richard littlejohn lifes short measure goldfish html ito      ns mchannel rss ns campaign, globalpost. Other key mentions included: washingtonpost, fxempire, chicagotribune, business standard."
2014-04-19,"Gold news focused on: article, wires, ap, deadline lapses peru illegal gold miners html. Other key mentions included: scmp, thisdaylive, goldrushcam, st leadfour french journalists freed in syria heading homeby shabtai gold dpa        html."
2014-04-20,"Gold news focused on: adonis   wordpress, beaumontenterprise, chicagotribune, theepochtimes. Other key mentions included: blog sfgate, city, ctg gold traders release demanded, reuters."
2014-04-21,"Gold news focused on: adonis   wordpress, montereyherald, chicagotribune, nachrichten. Other key mentions included: gold i wins queen s award for enterprise in innovation     htm, scmp, bidnessetc, forbes."
2014-04-22,"Gold news focused on: hollywoodreporter, brisbanetimes, einnews, in reuters. Other key mentions included: marketwatch, article, neoskosmos, money."
2014-04-23,"Gold news focused on: article, wpmobserver, reuters, chron. Other key mentions included: money, alex brummer astrazeneca looks set welcome takeover bid pfizer asked goldman sachs shore defences html ito feeds newsxml, news, nachricht."
2014-04-24,"Gold news focused on: blogs forward, article, nbcphiladelphia, sciencetech. Other key mentions included: nasas mad men how agency sold apollo missions thr public inspired golden age space exploration html ito      ns mchannel rss ns campaign, bnamericas, news, pacific."
2014-04-25,"Gold news focused on: therecord, forbes, washingtonexaminer, en. Other key mentions included: story, bloomberg, denverpost, amarillo."
2014-04-26,"Gold news focused on: goldcoastbulletin, therecord, latinpost, theguardian. Other key mentions included: kg gold found in biman toilets, thehindu, bostonherald, commercialappeal."
2014-04-27,"Gold news focused on: journalstar, businessweek, buenosairesherald, theepochtimes. Other key mentions included: magicvalley, onlinesentinel, bdnews, geeskaafrika."
2014-04-28,"Gold news focused on: ens newswire, news, thanhniennews, journal. Other key mentions included: index php, elist, elistread, goldman environmental prize winners offer a lesson in courage."
2014-04-29,"Gold news focused on: goldcoastbulletin, goldrushcam, article, businessweek. Other key mentions included: smh, columns, chiang mai ndash golden triangle, zolmax."
2014-04-30,"Gold news focused on: news, goldcoastbulletin, brisbanetimes, abs cbnnews. Other key mentions included: mining, voxxi, privatization of uks royal mail goldman sachs gave priority investor status to    institutions, proactiveinvestors."
2014-05-01,"Gold news focused on: oldgoldandblack, journal, index php, elist. Other key mentions included: elistread, goldman environmental prize winners offer a lesson in courage, news, bikie gang shooting witness given gold coast holiday as reward."
2014-05-02,"Gold news focused on: courier journal, news, article, desperate search survivors colombian illegal gold collapse leaves    workers trapped underground html ito      ns mchannel rss ns campaign. Other key mentions included: gulfnews, goldcoastbulletin, business, resourceinvestor."
2014-05-03,"Gold news focused on: clarionledger, azstarnet, resourceinvestor, article. Other key mentions included: barrick golds chair lauds glencore over bhp as a mining model, goldrushcam, latinpost, stabroeknews."
2014-05-04,"Gold news focused on: tbo, blueridgenow, desertdispatch, goldcoastbulletin. Other key mentions included: houston culturemap, foxnews, insurancenewsnet, miningaustralia."
2014-05-05,"Gold news focused on: businessweek, news, vanguardngr, metal. Other key mentions included: mineweb, latinpost, goal, riabiz."
2014-05-06,"Gold news focused on: latimes, article wn, njherald, businessweek. Other key mentions included: goldcoastbulletin, resourceinvestor, news, brisbanetimes."
2014-05-07,"Gold news focused on: local, stories, htm site goldfields, devel malaysiandigest. Other key mentions included: latinpost, goldrushcam, minyanville, newsminer."
2014-05-08,"Gold news focused on: news, dnainfo, article, romanian couple left vast doomsday bunker millions gold coins html ito      ns campaign. Other key mentions included: finance yahoo, bloomberg, streetregister, adn."
2014-05-09,"Gold news focused on: news, article, rk, en. Other key mentions included: romanian couple left vast doomsday bunker millions gold coins html ito      ns campaign, sfgate, resourceinvestor, prominent greek americans denounce golden dawn."
2014-05-10,"Gold news focused on: sltrib, kbtx, news, goldrushcam. Other key mentions included: rediff, goldcoastbulletin, stabroeknews, uk news."
2014-05-11,"Gold news focused on: goldrushcam, ohio, news, newquay couple celebrate golden wedding. Other key mentions included: story          detail, story html, dnaindia, adn."
2014-05-12,"Gold news focused on: news, mineweb, business, brisbanetimes. Other key mentions included: eng, mercuria said to hire ex goldman commodity co head shenouda html cid, story, philly."
2014-05-13,"Gold news focused on: news, einnews, foxbusiness, report. Other key mentions included: central african republic, lust gold fuels conflict central african republic, forbes, au news yahoo."
2014-05-14,"Gold news focused on: timescolonist, businessweek, lust gold fuels conflict central african republic, financialexpress. Other key mentions included: backpage, kg gold seized at airport, proactiveinvestors, zawya."
2014-05-15,"Gold news focused on: timescolonist, goldcoastbulletin, local, stories. Other key mentions included: htm site goldfields, washingtonpost, thenews, news goldseek."
2014-05-16,"Gold news focused on: news, blogs wsj, reuters, shifting sands uncover hidden gold coast treasure. Other key mentions included: marketwatch, rk, timesofindia indiatimes, golden mile set come standstill ahead funeral raf."
2014-05-17,"Gold news focused on: fields of gold frenzy of fiestas, ozy, news, goldman sachs fears rivals pleading guilty. Other key mentions included: tabid, articleid, default aspx, rk."
2014-05-18,"Gold news focused on: financialexpress, qctimes, northernstar, bangkokpost. Other key mentions included: timesofindia indiatimes, news, brisbanetimes, tvshowbiz."
2014-05-19,"Gold news focused on: businessweek, marketwatch, news, spyghana. Other key mentions included: property spain golden visa scheme flop, thehimalayantimes, expatica, denverpost."
2014-05-20,"Gold news focused on: coastweek, news, article, breitbart. Other key mentions included: business, goldcoastbulletin, mining, news and video."
2014-05-21,"Gold news focused on: muslim identity crises from golden ages to militancy, article wn, news, theglobeandmail. Other key mentions included: businessweek, news goldseek, article, cowraguardian."
2014-05-22,"Gold news focused on: news, sidneydailynews, article, gold coast to host corroboree. Other key mentions included: salvadorans want mining country will oceana gold listen, voiceofrussia, bradenton, cowraguardian."
2014-05-23,"Gold news focused on: news, bloomberg, courant, business. Other key mentions included: moneynews, usatoday, article, timesofindia indiatimes."
2014-05-24,"Gold news focused on: news, nst, goldcoastbulletin, nashvillescene. Other key mentions included: goldrushcam, washingtonpost, businessinsider, qa goldman prize winner ramesh agrawal jailed shot for fighting coal php."
2014-05-25,"Gold news focused on: goldcoastbulletin, eurasiareview, nst, resourceinvestor. Other key mentions included: washingtonpost, news, naharnet, rgj."
2014-05-26,"Gold news focused on: news, article, metal, world war ii doolittle raiders took fight japan time honored congressional gold medal html ito      ns mchannel rss ns campaign. Other key mentions included: st leadturkey court orders arrest of four israelis over gaza flotilla raidby shabtai gold dpa        html, goldrushcam, washingtonpost, turks and caicos canada harper peter goldring n         html."
2014-05-27,"Gold news focused on: news, article, world war ii doolittle raiders took fight japan time honored congressional gold medal html, bizjournals. Other key mentions included: forbes, jewishjournal, romania insider, thehimalayantimes."
2014-05-28,"Gold news focused on: news, forbes, mineweb, court crime. Other key mentions included: golders green mother writes to angela merkel alleging german cover up of son s death, haberler, europes golden age of gas set to end, itbusinessnet."
2014-05-29,"Gold news focused on: nachricht, rk, news, world. Other key mentions included: thundermin announces that the arbitrator confirms qmx gold s exercise of option on the pelletier lake gold property is valid, courierislander, yourhoustonnews, news opinion."
2014-05-30,"Gold news focused on: people partilepep, news, nachricht, rk. Other key mentions included: edmontonjournal, businessweek, virtual strategy, almaden files preliminary economic assessment technical report for its ixtaca gold silver deposit mexico."
2014-05-31,"Gold news focused on: st leadpolice out in force in istanbul ahead of planned demonstrationsby can merey and shabtai gold dpa        html, news, business, dhakatribune. Other key mentions included: irish, worldwide search for the quinns buried gold          html, local national, northern ireland."
2014-06-01,"Gold news focused on: mdjonline, phuket news, burmese worker nabbed phuket gold heist, there no law preventing foreigners visiting india from wearing gold kerala hc. Other key mentions included: goldrushcam, goldcoastbulletin, bloomberg, lasvegassun."
2014-06-02,"Gold news focused on: hindustantimes, moneyweek, nvdaily, bangkokpost. Other key mentions included: news, timesofindia indiatimes, azstarnet, forbes."
2014-06-03,"Gold news focused on: foreignpolicy, goldberg suggesting europe html, fools gold reality show cast hoping for a second season, finchannel. Other key mentions included: news, einnews, correction st leadturkey unblocks youtube after two month banby shabtai gold        html, itbusinessnet."
2014-06-04,"Gold news focused on: goldcoastbulletin, news goldseek, news, mineweb. Other key mentions included: digitaljournal, timesofindia indiatimes, lusakatimes, wdef."
2014-06-05,"Gold news focused on: marketwatch, goldrushcam, indiahome, indianews. Other key mentions included: article, bjp surges congress blood defectors strike gold lok sabha elections html, news, canindia."
2014-06-06,"Gold news focused on: article, news, indiahome, indianews. Other key mentions included: aftershocks bluestar rock golden temple sword fight breaks prayers mark      military assault amritsar html, asia, thenews, india."
2014-06-07,"Gold news focused on: news, business standard, articles chicagotribune, postandcourier. Other key mentions included: reviewjournal, article, business, seedsofgold."
2014-06-08,"Gold news focused on: charlestonscene, jamaicaobserver, article, features. Other key mentions included: e       the golden rule e        html, breitbart, news goldseek, news."
2014-06-09,"Gold news focused on: magazine, our home and golden land, busbyway, einnews. Other key mentions included: nysemktanv long term investor alert allied nevada gold corp under investigation, news, sun sentinel, energyglobal."
2014-06-10,"Gold news focused on: foreignpolicy, philstar, orlandosentinel, miningaustralia. Other key mentions included: st leadamnesty warns turkish police that crackdowns could get worseby shabtai gold dpa        html, finance yahoo, courant, bloomberg."
2014-06-11,"Gold news focused on: finchannel, interaksyon, businessweek, military. Other key mentions included: gmanetwork, theatlantic, reuters, resourceinvestor."
2014-06-12,"Gold news focused on: businessweek, ibtimes, goldrushcam, myles brown claims double gold france. Other key mentions included: news, screenafrica, finchannel, the cluster."
2014-06-13,"Gold news focused on: reuters, resourceinvestingnews, business standard, freemalaysiatoday. Other key mentions included: marketsemerging, news goldseek, blogs marketwatch, greece greekreporter."
2014-06-14,"Gold news focused on: voiceonline, goldrushcam, life, features. Other key mentions included: the golden age of television          html, examiner, mtstandard, outlookindia."
2014-06-15,"Gold news focused on: ottawacitizen, armytimes, livetradingnews, timesofindia indiatimes. Other key mentions included: stabroeknews, news, marketwired, investing."
2014-06-16,"Gold news focused on: article, index php, component, content. Other key mentions included: latest news, the president attending the golden jubilee conference of the group of    nations conducts bilateral talks with world leaders  html, ottawacitizen, deadline."
2014-06-17,"Gold news focused on: news, theglobeandmail, au news yahoo, zawya. Other key mentions included: bloomberg, business, wa meat exporter signs  bn export deal, site goldfields c  bicfrjdrpskd m  p poyupxyg raqewjfrnvcwdgg mkt en us."
2014-06-18,"Gold news focused on: bloomberg, news, businessweek, sikh. Other key mentions included: goldrushcam, mailtimes, bdnews, einnews."
2014-06-19,"Gold news focused on: finance yahoo, spurgeon golden gate move spotlighted, timesofindia indiatimes, denverpost. Other key mentions included: nationswell, reuters, thenews, philstar."
2014-06-20,"Gold news focused on: goldrushcam, nypost, business standard, aljazeera. Other key mentions included: orlandosentinel, marketwired, nation, from golden temple to delhi punjab families pray for iraq hostages."
